Date,ARIMA_Forecast,LSTM_Forecast
2026-01-08,27453.885075079714,92048.84
2026-01-09,27477.72517368607,92155.62
2026-01-10,27468.27543507572,92077.75
2026-01-11,27467.80776667588,91893.29
2026-01-12,27466.87777906741,91645.76
2026-01-13,27467.635967665585,91360.31
2026-01-14,27467.20898378224,91052.48
2026-01-15,27467.29310353014,90732.23
2026-01-16,27467.19041356106,90406.27
2026-01-17,27467.226404230365,90079.43
2026-01-18,27467.196422170306,89755.09
2026-01-19,27467.203844309115,89435.67
2026-01-20,27467.195552751604,89122.95
2026-01-21,27467.19764403845,88818.12
2026-01-22,27467.19531603975,88521.95
2026-01-23,27467.195809142424,88234.914
2026-01-24,27467.19515289063,87957.24
2026-01-25,27467.195275782553,87689.0
2026-01-26,27467.195090594607,87430.1
2026-01-27,27467.19511915482,87180.37
2026-01-28,27467.195066578617,86939.58
2026-01-29,27467.19507302626,86707.45
2026-01-30,27467.195058059795,86483.68
2026-01-31,27467.19505938887,86267.914
2026-02-01,27467.195055107466,86059.9
2026-02-02,27467.195055340962,85859.26
2026-02-03,27467.19505411148,85665.695
2026-02-04,27467.195054135427,85478.9
2026-02-05,27467.195053780764,85298.58
2026-02-06,27467.19505377515,85124.445
2026-02-07,27467.19505367241,84956.234
2026-02-08,27467.195053667154,84793.71
2026-02-09,27467.19505363726,84636.59
2026-02-10,27467.19505363468,84484.695
2026-02-11,27467.195053625946,84337.75
2026-02-12,27467.19505362489,84195.6
2026-02-13,27467.19505362233,84058.02
2026-02-14,27467.195053621934,83924.84
2026-02-15,27467.195053621177,83795.914
2026-02-16,27467.195053621035,83671.055
2026-02-17,27467.195053620813,83550.09
2026-02-18,27467.195053620766,83432.89
2026-02-19,27467.1950536207,83319.32
2026-02-20,27467.195053620682,83209.25
2026-02-21,27467.195053620664,83102.54
2026-02-22,27467.19505362066,82999.09
2026-02-23,27467.195053620653,82898.79
2026-02-24,27467.195053620653,82801.484
2026-02-25,27467.195053620653,82707.12
2026-02-26,27467.195053620653,82615.59
2026-02-27,27467.195053620653,82526.78
2026-02-28,27467.195053620653,82440.6
2026-03-01,27467.195053620653,82357.0
2026-03-02,27467.195053620653,82275.836
2026-03-03,27467.195053620653,82197.08
2026-03-04,27467.195053620653,82120.625
2026-03-05,27467.195053620653,82046.414
2026-03-06,27467.195053620653,81974.34
2026-03-07,27467.195053620653,81904.39
2026-03-08,27467.195053620653,81836.484
